Key,"English Value","Kurdish Translation (کوردی)"
Enter_Phone_Warehouse,"Enter Warehouse Phone",
Enter_Product_Code,"Enter Product Code",
Enter_Product_Cost,"Enter Product Cost",
Enter_Product_Price,"Enter Product Price",
Enter_Project_Title,"Enter Project Title",
Enter_Province,"Enter Province",
Enter_Reason_Leave,"Enter Reason Leave",
Enter_Role_Description,"Enter Role Description",
Enter_Role_Name,"Enter Role Name",
Enter_Shift_name,"Enter Shift name",
Enter_ShortName_Unit,"Enter shortname Unit",
Enter_Skype,"Enter Skype",
Enter_Start_date,"Enter start date",
Enter_Stock_alert,"Enter Stock alert",
Enter_Store_URL,"Enter store URL",
Enter_Symbol_Currency,"Enter Symbol Currency",
Enter_Task_Title,"Enter Task Title",
Enter_the_Variant,"Enter the Variant",
Enter_title,"Enter title",
Enter_Twitter,"Enter Twitter",
Enter_warranty_terms,"Enter warranty terms",
Enter_WhatsApp,"Enter WhatsApp",
Enter_Wholesale_Price,"Enter Wholesale Price",
Enter_ZipCode_Warehouse,"Enter Warehouse Zip Code",
Enter_Zip_code,"Enter Zip code",
Entry_Created_Draft,"Entry created (draft)",
Entry_Updated,"Entry updated",
Env,Env,
Environment,Environment,
Equity,Equity,
Error,Error!,
Errors,Errors,
Error_Logs,"Error Logs",
erroSale,"This sale already linked with a Return!",
Example_Code,"e.g. 1000",
Example_Name,"e.g. Cash",
EXCEL,Excel,
Exp,"Expiry Date",
Expense,Expense,
Expenses,Expenses,
Expense_30d,"Expense (30d)",
expense_add,"add expense",
Expense_Category,"Expense Category",
Expense_Created,"This Expense has been Created",
expense_delete,"delete expense",
Expense_Deleted,"This Expense has been deleted",
expense_edit,"edit expense",
Expense_List,"All Expenses",
Expense_Report,"Expense Report",
Expense_Updated,"This Expense has been Updated",
Experiences,Experiences,
Export_Excel,"Export Excel",
Export_PDF,"Export PDF",
Facebook,Facebook,
FactureReturnCustomers,"Return Customer Invoice",
FactureReturnSuppliers,"Return Supplier Invoice",
Failed,Failed,
"Failed to add translation","Failed to add translation",
"Failed to update","Failed to update",
Failed_Load_Tax_Summary,"Failed to load tax summary. Please try again.",
Failed_to_authenticate_on_SMTP_server,"Failed to authenticate on SMTP server",
